t[sec];q1[m3/h];h1[m];h2[m];q2_measurement[m3/h]
269,5;0,0295;0,189403555;0,125752078;0,015981185
270;0,03;0,194605833;0,129882485;0,019197666
270,5;0,0305;0,199897331;0,134098072;0,018340577
271;0,031;0,205277442;0,1383985;0,017708505
271,5;0,0315;0,210745601;0,142783452;0,016743781
272;0,032;0,216301278;0,147252627;0,018592255
272,5;0,0325;0,221943981;0,151805744;0,018542041
273;0,033;0,227673245;0,156442534;0,019989005
273,5;0,0335;0,233488638;0,161162747;0,018889636
274;0,034;0,239389755;0,165966144;0,020051222
274,5;0,0345;0,245376213;0,170852502;0,018798787
275;0,035;0,251447656;0,175821607;0,020478241
275,5;0,0355;0,257603749;0,180873259;0,022156543
276;0,036;0,263844176;0,186007268;0,021900942
276,5;0,0365;0,270168639;0,191223452;0,020606863
277;0,037;0,276576861;0,196521643;0,022370069
277,5;0,0375;0,283068578;0,201901677;0,022038158
278;0,038;0,289643543;0,207363401;0,021801346
278,5;0,0385;0,296301522;0,21290667;0,024299709
279;0,039;0,303042294;0,218531344;0,024261116
279,5;0,0395;0,309865652;0,224237293;0,023416562
280;0,04;0,316771398;0,230024392;0,025078843
280,5;0,0405;0,323759347;0,235892521;0,02400731
281;0,041;0,330829323;0,241841568;0,025292772
281,5;0,0415;0,33798116;0,247871424;0,025824673
282;0,042;0,345214699;0,253981989;0,02537667
282,5;0,0425;0,352529793;0,260173162;0,023753759
283;0,043;0,359926298;0,266444853;0,02578938
283,5;0,0435;0,367404081;0,272796972;0,025741436
284;0,044;0,374963015;0,279229433;0,027069181
